business_name,category,type,address,city,state,zip,phone,website,approx_distance_direction_from_five_points,independent_or_chain,notes,status,source
Los Compas Tire Shop,Tire Shop,Tire,2528 Coors Blvd SW,Albuquerque,NM,87105,Not confirmed,,~2.0 mi SW,Independent,Possible successor/relation to closed Los Compadres Tire Shop (6120 Central Ave SW),Open,YellowPages/Acima
Walmart Auto Care Center,Tire Shop,Tire,3500 Coors Blvd SW,Albuquerque,NM,87121,(505) 877-8991,,~2.4 mi SW,Chain (Walmart),Tires/oil/battery quick service only -- not a full mechanic shop,Open,Walmart
Perfection Auto & Truck LLC,Auto Repair,Mechanic,4301 Coors Blvd SW,Albuquerque,NM,87121,(505) 877-0229,,~2.9 mi SW,Independent,Auto + truck repair,Open,Web search
"Auto Repair Shop (family-owned; name unconfirmed)",Auto Repair,Mechanic,2712 Coors Blvd SW,Albuquerque,NM,87121,(505) 452-3040,,~2.0 mi SW,Independent,Business name not confirmed in search results -- needs a direct call/site visit to verify,Open,Web search
Firestone Complete Auto Care - Coors SW,Tire Shop,Both,3101 Coors Blvd SW,Albuquerque,NM,87121,(505) 452-8355,https://www.firestonecompleteautocare.com/,~2.2 mi SW,Chain (Firestone/Bridgestone),,Open,Firestone site
Old Town Tire and Automotive Service,Tire Shop,Both,1001 Rio Grande Blvd NW,Albuquerque,NM,87104,(505) 843-8473,https://www.oldtowntireandautomotive.com/,~1.5 mi N,Independent,Family-owned 20+ years; tires + full auto repair + towing,Open,Company site
Downtown Tire & Auto Service,Tire Shop,Both,700 Central Ave SW,Albuquerque,NM,87102,Not confirmed,,~2.0 mi NE,Independent,,Open,Web search (unverified phone)
Mango Automotive (Downtown),Auto Repair,Mechanic,700 Central Ave SW,Albuquerque,NM,87102,Not confirmed,,~2.0 mi NE,Independent,Address matches Downtown Tire & Auto Service listing -- verify if same location or shared building,Open,Web search
German Precision,Auto Repair,Mechanic,1121 2nd St NW,Albuquerque,NM,87102,(505) 639-5591,https://www.germanprecisionnm.com/,~2.0 mi NE,Independent,BMW/German-vehicle specialist,Open,Yelp/company site
Independent Vehicle Service (IVS),Auto Repair,Mechanic,312 Kinley Ave NW,Albuquerque,NM,87102,(505) 247-9771,https://www.ivsabq.com/,~2.0 mi NE,Independent,European/hybrid/EV specialist,Open,Yelp/company site
ABQ Quality Auto Service,Auto Repair,Mechanic,810 Arno St NE,Albuquerque,NM,87102,(505) 433-2448,https://www.abqqualityauto.com/,~3.3 mi NE,Independent,Honda/Acura/Asian-import specialist,Open,Yelp/BBB/company site
Big Star Tire Shop (aka Big I Tire Shop),Tire Shop,Tire,2105 Broadway Blvd SE,Albuquerque,NM,87102,(505) 242-7494,,~2.7 mi NE,Independent,Name varies between Yelp (Big Star) and YellowPages (Big I) for same address/phone,Open,Yelp/YellowPages
H & D Tire Shop & Tire Disposal,Tire Shop,Tire,6430 Central Ave SW,Albuquerque,NM,87105,(505) 836-0130,https://www.hdtireshopandtiredisposalnm.com/,~3.5 mi W,Independent,In business since 2004; BBB member; new + used tires,Open,Company site
Los Compadres Tire Shop (Central Ave location),Tire Shop,Tire,6120 Central Ave SW,Albuquerque,NM,87105,(505) 358-1179,,~3.5 mi W,Independent,CLOSED per Yelp -- likely superseded by Los Compas Tire Shop on Coors Blvd SW,Closed,Yelp/YellowPages
Shea's Auto (Shea's Automotive),Auto Repair,Mechanic,Address not confirmed,Albuquerque,NM,,Not confirmed,https://www.sheasautomotive.com/,Unconfirmed,Independent,ASE certified; family-owned since 2008; appeared in 87102-area Yelp results but exact address not found -- verify via company site,Open,Yelp/company site
Rio Grande Automotive,Auto Repair,Mechanic,301 Griegos Rd NW,Albuquerque,NM,87107,(505) 242-3401,,~3.0 mi N,Independent,North Valley; borderline edge of 5-mile radius,Open,Yelp
Goodfellas Auto Care Collision and Detail,Body/Collision Shop,Other,405 Hudson Ave NW,Albuquerque,NM,87107,(505) 990-0033,https://goodfellasabq.com/,~3.0 mi N,Independent,Collision repair + detailing; not general mechanic/tire -- included for completeness only,Open,Yelp/company site
